client_id,sector,total_assets,current_assets,cash,total_debt,current_liabilities,revenue,ebitda,net_income,interest_expense
CORP-0001,Manufacturing,47569435.47,28447085.46,7195208.19,16825564.11,14479826.84,46375605.08,3695399.6,1422610.42,870741.91
CORP-0002,Real Estate,10476609.27,3556507.26,542852.79,7464832.79,2493958.15,7019820.13,1023803.71,376074.21,390776.84
CORP-0003,Healthcare,58246691.53,18335336.22,6268171.15,3327244.07,20424772.47,32580859.41,2435874.76,720391.04,213972.03
CORP-0004,Manufacturing,73337728.3,37278063.55,13663510.42,21641780.76,20304201.52,43385948.65,8156679.75,2306518.37,1604862.11
CORP-0005,Technology,69705546.4,38314889.81,13616600.4,50392842.56,17621869.05,48972287.96,7547706.36,3369575.28,2571335.61
CORP-0006,Technology,117362820.64,65007810.2,14952451.93,51082263.16,52362182.39,85629760.81,6603974.81,2278006.81,2399256.6
CORP-0007,Technology,91689841.79,46169417.18,15125201.04,51399820.09,35282120.62,59231709.94,7969007.37,3439709.13,3556965.34
CORP-0008,Real Estate,63033701.09,36950654.44,4776749.7,38402743.13,21655880.32,34087154.79,3831129.63,1193301.6,2285441.01
CORP-0009,Energy,37126230.1,16829373.16,1886125.59,21106907.77,7832170.84,26314174.72,4367066.9,1825898.07,1529353.18
CORP-0010,Healthcare,7564970.96,4343386.01,1415817.55,3259267.46,3361581.27,6326474.19,1372987.39,728133.39,151272.52
CORP-0011,Technology,61197580.91,36127602.74,8222880.19,29693355.31,37359723.14,56240937.51,3163067.74,1450635.31,989038.63
CORP-0012,Real Estate,49017487.84,27162905.46,10828893.71,10208489.88,15498921.64,33749294.73,5256496.66,1885813.48,530891.89
CORP-0013,Healthcare,52251483.31,20531048.31,2652124.13,15990642.16,11283106.77,37485236.89,5322654.74,2265960.03,775621.47
CORP-0014,Retail,11108836.43,3986569.2,1421962.61,7099233.86,2653374.39,6828161.16,1253425.09,471204.46,417563.97
CORP-0015,Technology,13510037.15,6274547.88,1530957.8,8814309.2,4914481.39,10723080.85,1722768.36,690464.92,444658.29
CORP-0016,Technology,114164717.44,49764905.52,17325405.95,41149633.0,26223088.6,71959650.89,8088375.1,2971983.61,2926366.61
CORP-0017,Retail,38280257.3,21564321.75,7442670.86,14225593.3,12601765.0,35012101.87,4693277.84,1800184.06,792048.97
CORP-0018,Manufacturing,78727312.38,25980761.1,9737526.92,16195732.7,21784503.78,34862556.07,3841808.61,1618205.65,1008299.63
CORP-0019,Manufacturing,40968677.78,15458384.19,2927122.39,19421014.41,10172412.96,29828231.79,6079004.29,1827738.53,1211182.21
CORP-0020,Retail,41027623.41,21561644.22,8299935.14,2537977.16,22476037.12,35292842.43,5331533.8,1590994.29,159700.5
CORP-0021,Energy,101775890.9,33432972.4,4864500.43,20874417.0,18842311.78,85162697.06,20869930.88,5450093.64,1244909.8
CORP-0022,Technology,23770485.68,9418563.48,1173464.79,9766623.9,6751142.65,31819332.18,4676390.5,1122206.94,660800.11
CORP-0023,Retail,43842787.28,18245027.66,4186953.88,15904255.23,13762398.76,38141471.43,4370236.89,1216113.38,764440.78
CORP-0024,Manufacturing,25083597.67,12210146.99,4255198.26,9556346.13,8212089.52,15029817.83,1116930.1,464582.89,773980.6
CORP-0025,Manufacturing,25790164.92,8960529.58,2168684.17,8129322.66,5910159.74,20139724.2,1205221.84,374488.04,458916.03
CORP-0026,Healthcare,29233558.66,16317627.15,5691359.96,2256229.11,8782493.46,13001646.65,920428.21,415445.81,90986.42
CORP-0027,Technology,49730738.05,21596203.12,6887159.65,31171687.69,12437084.05,38982933.43,6368109.04,2569349.71,1958239.72
CORP-0028,Manufacturing,24673772.08,14190047.04,2310544.3,6274174.58,9871774.6,15628090.61,2741733.63,556982.03,296343.65
CORP-0029,Manufacturing,139804576.82,61564479.63,23681669.0,51863220.12,34098917.77,137438811.48,9749973.18,4538588.71,3629389.08
CORP-0030,Technology,16279101.03,6226952.76,736239.72,10751898.19,3750510.08,11234076.49,2187857.92,1052534.39,1001475.7
CORP-0031,Energy,33036658.15,11316662.6,4181324.77,17740629.03,8512864.36,25657815.39,3228957.74,970669.04,855123.49
CORP-0032,Technology,25655510.52,7725477.85,1478139.12,17425291.36,5327501.55,17263296.24,2716201.0,1200612.87,1132392.75
CORP-0033,Technology,169265303.36,77802330.45,19454038.98,44995958.25,54002738.13,194277683.0,44802576.86,14083697.93,1514897.65
CORP-0034,Real Estate,48474806.94,16100762.14,3650132.33,12947663.3,9459326.26,35665409.34,6949118.47,2847519.69,865014.98
CORP-0035,Real Estate,111757794.61,46660927.67,7071480.72,66551644.88,34482145.72,130366742.43,17804638.07,4870461.58,3108913.04
CORP-0036,Healthcare,9015353.51,4298354.02,891668.01,3152577.31,3198569.6,8680255.99,915249.57,201985.84,159607.05
CORP-0037,Retail,52015393.72,19906591.26,3142859.21,10875370.46,8702323.85,46627293.1,1977427.59,715271.71,472868.75
CORP-0038,Technology,96942715.06,34178830.11,5508463.37,68777907.19,18220020.21,84703370.53,9659770.08,3744388.71,4882011.87
CORP-0039,Energy,43240321.64,23021860.14,3594104.91,10153397.31,19252914.68,37997841.68,5298551.58,1908708.0,762617.26
CORP-0040,Manufacturing,115580795.91,67503501.95,16653465.9,39687481.8,39056019.3,47904250.53,4821132.81,1357616.27,2395170.41
CORP-0041,Technology,23740940.19,7837647.04,2659936.03,8043803.72,5065239.0,17668561.35,2534328.11,912383.7,378329.04
CORP-0042,Manufacturing,163014129.68,56513265.3,15297632.87,74511201.18,34113586.26,157965841.97,24301874.92,10375186.71,6247231.13
CORP-0043,Technology,396782219.89,233309451.95,85849007.09,83359282.52,150044357.1,313545469.31,43506691.68,17207361.95,4063252.2
CORP-0044,Real Estate,27706052.24,8625871.16,2509812.34,1604508.85,4365635.22,14378389.13,1689458.87,706616.35,48135.27
CORP-0045,Retail,25507867.16,15133554.88,4643005.43,11030824.43,9237645.1,20138948.57,3190668.67,1062455.91,737695.6
CORP-0046,Energy,170353198.36,51343320.27,15417483.57,69358428.19,34805148.55,194342523.69,33445771.61,17297209.62,3012124.17
CORP-0047,Retail,193264861.55,108634294.0,25511434.04,23304832.16,56672565.63,202807960.2,19364113.39,5468089.97,1743880.36
CORP-0048,Manufacturing,23609033.52,9259405.2,2840800.76,7511112.45,5811412.63,18594455.87,4100944.37,1840323.51,407725.23
CORP-0049,Manufacturing,26161860.0,15215127.09,1839696.38,3114178.45,9825139.66,25907824.56,3758463.48,1947594.84,215051.77
CORP-0050,Technology,30045257.65,11870388.15,4249070.03,14715165.6,7302117.45,21833846.55,3295654.97,1476752.7,1192259.58
CORP-0051,Real Estate,10381640.72,5152324.16,1717494.51,1358557.65,3522820.86,4767516.05,883948.59,335677.33,56878.89
CORP-0052,Healthcare,15892344.19,5149274.8,893754.41,7054572.99,3424423.96,9775489.01,1580313.44,548637.88,363387.71
CORP-0053,Real Estate,14590179.64,5437744.54,1796683.74,7191913.52,4297517.81,16232709.29,3208505.89,1615831.69,423351.51
CORP-0054,Real Estate,18480051.94,9833305.94,1020626.16,6387455.2,8197611.08,13771360.28,2263408.56,583286.06,530562.91
CORP-0055,Manufacturing,38467147.09,17641255.08,2913876.17,26464255.48,16029171.7,28901260.2,3450178.43,1045361.19,1326501.2
CORP-0056,Real Estate,50335176.9,29113399.13,3480249.84,1284598.46,30866404.56,37249659.79,6260743.13,2255396.55,65620.43
CORP-0057,Technology,187727216.83,80464657.63,26880673.28,103557846.2,70084263.26,221673425.95,20574328.56,10776120.93,6956198.89
CORP-0058,Technology,14674853.77,8231766.92,2689830.64,6015338.12,5755300.38,16512024.88,2566430.76,1124037.04,308836.9
CORP-0059,Technology,106571043.78,46325008.01,15940009.4,59052696.27,30056835.16,132548380.11,19662027.94,5961436.9,3678267.75
CORP-0060,Retail,32152834.06,19091532.44,1934821.96,21403044.63,13720293.2,24699516.39,3447908.17,1272172.02,786068.31
CORP-0061,Manufacturing,37902828.21,22284979.77,5579486.33,13143974.16,39957390.0,32563263.41,4675209.47,1582874.85,1225214.88
CORP-0062,Retail,78203072.28,31182772.15,9711901.18,26139233.32,14640936.43,38841236.44,2171518.28,714475.33,1039932.71
CORP-0063,Healthcare,12958700.56,7331736.04,1074981.62,8418693.46,3789809.87,14194790.64,1739766.84,866210.69,464490.55
CORP-0064,Manufacturing,58375669.7,32356665.39,9543184.88,13999286.29,19279383.56,33066553.08,5113486.01,1343955.47,833136.51
CORP-0065,Retail,47037335.1,17084153.87,2139500.35,22729014.07,7549351.32,39669177.05,6267445.13,3515272.63,2015843.58
CORP-0066,Manufacturing,65166185.43,31754642.84,4902845.62,28148822.81,28632179.07,37831544.35,3730804.77,1801318.24,1129536.63
