client_id,sector,total_assets,current_assets,cash,total_debt,current_liabilities,revenue,ebitda,net_income,interest_expense,current_ratio,debt_to_ebitda,interest_coverage,liq_score,lev_score,solv_score,total_credit_score,pd,risk_grade
CORP-0001,Manufacturing,47569435.47,28447085.46,7195208.19,16825564.11,14479826.84,38723630.241799995,3085658.6659999997,950303.76056,1375508.8333,1.964601218946621,5.452827396431152,2.2432852420127016,4,2,3,2.8,0.06,B
CORP-0002,Real Estate,10476609.27,3556507.26,542852.79,7464832.79,2493958.15,5440360.60075,793447.87525,233166.01020000005,614721.8237000001,1.4260492943716798,9.408094750582041,1.2907429745608363,3,1,2,1.8000000000000003,0.12,CCC-C
CORP-0003,Healthcare,58246691.53,18335336.22,6268171.15,3327244.07,20424772.47,30626007.845399998,2289722.2743999995,541734.0620800001,313789.3521,0.8977008799941848,1.4531212397240942,7.29700437276246,2,5,5,4.4,0.005,A-BBB
CORP-0004,Manufacturing,73337728.3,37278063.55,13663510.42,21641780.76,20304201.52,36227267.12275,6810827.59125,1540754.2711600002,2254115.5328,1.83597781539355,3.177555219251712,3.0215077675232456,4,3,3,3.2,0.06,B
CORP-0005,Technology,69705546.4,38314889.81,13616600.4,50392842.56,17621869.05,44564782.0436,6868412.7876,2453050.80384,4083120.8868,2.174280702080237,7.336897783863185,1.6821477928327695,5,1,2,2.2,0.12,CCC-C
CORP-0006,Technology,117362820.64,65007810.2,14952451.93,51082263.16,52362182.39,77923082.3371,6009617.077099999,1658388.9576800002,3931724.4948,1.2415030702084533,8.500086195949486,1.5284939433188078,3,1,2,1.8000000000000003,0.12,CCC-C
CORP-0007,Technology,91689841.79,46169417.18,15125201.04,51399820.09,35282120.62,53900856.0454,7251796.7067,2504108.24664,5098959.9427000005,1.3085782931604297,7.0878738289107375,1.4222109583508573,3,1,2,1.8000000000000003,0.12,CCC-C
CORP-0008,Real Estate,63033701.09,36950654.44,4776749.7,38402743.13,21655880.32,26417544.96225,2969125.46325,739846.9920000002,3437523.3038999997,1.7062642522028861,12.934025053951213,0.8637397337441801,4,1,1,1.6,0.25,D
CORP-0009,Energy,37126230.1,16829373.16,1886125.59,21106907.77,7832170.84,22367048.512,3712006.865,1241610.6876,2162560.4131,2.1487494979105946,5.686117654849757,1.7164870135021526,5,2,2,2.6,0.06,B
CORP-0010,Healthcare,7564970.96,4343386.01,1415817.55,3259267.46,3361581.27,5946885.7386,1290608.1465999999,547556.30928,249050.54379999998,1.2920663405528792,2.525373381987608,5.182113344977968,3,4,4,3.8000000000000003,0.015,BB
CORP-0011,Technology,61197580.91,36127602.74,8222880.19,29693355.31,37359723.14,51179253.1341,2878391.6434000004,1056062.5056800002,1879839.2892999998,0.9670200875048562,10.315953834178643,1.5311902776922137,2,1,2,1.6,0.25,D
