client_id,sector,total_assets,current_assets,cash,total_debt,current_liabilities,revenue,ebitda,net_income,interest_expense,current_ratio,debt_to_ebitda,interest_coverage,liq_score,lev_score,solv_score,total_credit_score,pd,risk_grade
CORP-0001,Manufacturing,47569435.47,28447085.46,7195208.19,16825564.11,14479826.84,46375605.08,3695399.6,1422610.42,870741.91,1.964601218946621,4.553110876020011,4.243966619224748,4,2,4,3.2,0.06,B
CORP-0002,Real Estate,10476609.27,3556507.26,542852.79,7464832.79,2493958.15,7019820.13,1023803.71,376074.21,390776.84,1.4260492943716798,7.291273431701083,2.6199191077956407,3,1,3,2.2,0.12,CCC-C
CORP-0003,Healthcare,58246691.53,18335336.22,6268171.15,3327244.07,20424772.47,32580859.41,2435874.76,720391.04,213972.03,0.8977008799941848,1.3659339653406484,11.384080246376126,2,5,5,4.4,0.005,A-BBB
CORP-0004,Manufacturing,73337728.3,37278063.55,13663510.42,21641780.76,20304201.52,43385948.65,8156679.75,2306518.37,1604862.11,1.83597781539355,2.653258608075179,5.082480107901606,4,4,4,4.0,0.015,BB
CORP-0005,Technology,69705546.4,38314889.81,13616600.4,50392842.56,17621869.05,48972287.96,7547706.36,3369575.28,2571335.61,2.174280702080237,6.676576983315498,2.935325256900246,5,1,3,2.6,0.06,B
CORP-0006,Technology,117362820.64,65007810.2,14952451.93,51082263.16,52362182.39,85629760.81,6603974.81,2278006.81,2399256.6,1.2415030702084533,7.735078438314031,2.7525087604218736,3,1,3,2.2,0.12,CCC-C
CORP-0007,Technology,91689841.79,46169417.18,15125201.04,51399820.09,35282120.62,59231709.94,7969007.37,3439709.13,3556965.34,1.3085782931604297,6.449965184308771,2.2403950019934693,3,1,3,2.2,0.12,CCC-C
CORP-0008,Real Estate,63033701.09,36950654.44,4776749.7,38402743.13,21655880.32,34087154.79,3831129.63,1193301.6,2285441.01,1.7062642522028861,10.023869416812191,1.6763196307569541,4,1,2,2.0,0.12,CCC-C
CORP-0009,Energy,37126230.1,16829373.16,1886125.59,21106907.77,7832170.84,26314174.72,4367066.9,1825898.07,1529353.18,2.1487494979105946,4.8332000066222935,2.8554992771519268,5,2,3,3.0,0.06,B
CORP-0010,Healthcare,7564970.96,4343386.01,1415817.55,3259267.46,3361581.27,6326474.19,1372987.39,728133.39,151272.52,1.2920663405528792,2.3738509790683513,9.076251192219182,3,4,5,4.2,0.015,BB
CORP-0011,Technology,61197580.91,36127602.74,8222880.19,29693355.31,37359723.14,56240937.51,3163067.74,1450635.31,989038.63,0.9670200875048562,9.387517989102566,3.1981235555986323,2,1,3,2.0,0.12,CCC-C
CORP-0012,Real Estate,49017487.84,27162905.46,10828893.71,10208489.88,15498921.64,33749294.73,5256496.66,1885813.48,530891.89,1.752567442492083,1.942071029490581,9.901256280256984,4,4,5,4.4,0.005,A-BBB
CORP-0013,Healthcare,52251483.31,20531048.31,2652124.13,15990642.16,11283106.77,37485236.89,5322654.74,2265960.03,775621.47,1.8196272293185078,3.004260644567,6.86243863259742,4,3,5,4.0,0.015,BB
